id,org_unit,indicator,period,deaths
8952,Wajir County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,1
8953,Muranga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,3
8954,Wajir County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,1
8955,Muranga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,1
8956,Wajir County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,2
8957,Muranga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,3
8958,Kwale County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,2
8959,Muranga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,3
8960,Muranga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,3
8961,Muranga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,3
8962,Muranga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,1
8963,Kirinyaga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,2
8964,Nakuru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,1
8965,Nakuru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,5
8966,Kirinyaga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
8967,Busia County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,1
8968,Busia County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,3
8969,Busia County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,2
8970,Busia County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,1
8971,Garissa County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,2
8972,Taita Taveta County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,2
8973,Garissa County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,1
8974,Machakos County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,1
8975,Garissa County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,2
8976,Machakos County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
8977,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,2
8978,Kajiado County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,2
8979,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,3
8980,Kajiado County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,5
8981,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,2
8982,Kwale County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,3
8983,Narok County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,3
8984,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,3
8985,Kajiado County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,2
8986,Kwale County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
8987,Kilifi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,4
8988,Kwale County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,2
8989,Kilifi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
8990,Kilifi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,4
8991,Kilifi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,7
8992,Elgeyo Marakwet County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,1
8993,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,1
8994,Narok County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,3
8995,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,3
8996,Narok County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,1
8997,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,1
8998,Narok County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,1
8999,Nakuru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,4
9000,Nakuru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,2
9001,Nakuru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,5
9002,Nakuru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,3
9003,Nakuru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,3
9004,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,1
9005,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,5
9006,Bomet County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,1
9007,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,2
9008,Bungoma County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,2
9009,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,1
9010,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,2
9011,Nyamira County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,1
9012,Machakos County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,3
9013,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,3
9014,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,3
9015,Kakamega County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,3
9016,Kakamega County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,1
9017,Siaya County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,2
9018,Kakamega County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,5
9019,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,10
9020,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,15
9021,Elgeyo Marakwet County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,19
9022,Nyamira County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,1
9099,Baringo County,Total Perinatal Deaths,January 2026,28
9023,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,15
9024,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,10
9025,Nyamira County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,1
9026,Trans Nzoia County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,1
9027,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,2
9028,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,1
9029,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,2
9030,Kakamega County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,2
9031,Siaya County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,2
9032,Kakamega County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,6
9033,Siaya County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,2
9034,Kakamega County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,1
9035,Siaya County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,1
9036,Trans Nzoia County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,1
9037,Siaya County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,2
9038,Kakamega County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,3
9039,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,3
9040,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,1
9041,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,1
9042,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,2
9043,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,1
9044,Meru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
9045,Meru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,4
9046,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,4
9047,Meru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,1
9048,Isiolo County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,1
9049,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,3
9050,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,2
9051,Isiolo County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,1
9052,Kisumu County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,3
9053,Nyandarua County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,2
9054,Vihiga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,1
9055,Vihiga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
9056,Vihiga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,1
9057,Vihiga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,3
9058,Wajir County,MOH 711 Rev 2020_Maternal deaths 25+ Years,April 2026,2
9059,Wajir County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,1
9060,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,1
9061,Bomet County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,3
9062,Turkana County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,2
9063,Bomet County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,3
9064,Isiolo County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,1
9065,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,8
9066,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,12
9067,Nyandarua County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,1
9068,Nyamira County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,1
9069,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,17
9070,Nandi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,2
9071,Nandi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,2
9072,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,12
9073,Nandi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,1
9074,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,13
9075,Nandi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,July 2025,2
9076,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,October 2025,11
9077,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,December 2025,5
9078,Nairobi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,5
9079,Kirinyaga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,1
9080,Nandi County,MOH 711 Rev 2020_Maternal deaths 25+ Years,November 2025,1
9081,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,January 2026,1
9082,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
9083,Meru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,2
9084,Kisii County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,1
9085,Meru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,August 2025,1
9086,Kirinyaga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,June 2025,1
9087,Tana River County,MOH 711 Rev 2020_Maternal deaths 25+ Years,March 2026,1
9088,Kirinyaga County,MOH 711 Rev 2020_Maternal deaths 25+ Years,May 2025,2
9089,Tana River County,MOH 711 Rev 2020_Maternal deaths 25+ Years,February 2026,1
9090,Meru County,MOH 711 Rev 2020_Maternal deaths 25+ Years,September 2025,1
9091,Baringo County,Total Perinatal Deaths,May 2025,31
9092,Baringo County,Total Perinatal Deaths,June 2025,30
9093,Baringo County,Total Perinatal Deaths,July 2025,24
9094,Baringo County,Total Perinatal Deaths,August 2025,22
9095,Baringo County,Total Perinatal Deaths,September 2025,26
9096,Baringo County,Total Perinatal Deaths,October 2025,30
9097,Baringo County,Total Perinatal Deaths,November 2025,35
9098,Baringo County,Total Perinatal Deaths,December 2025,29
9100,Baringo County,Total Perinatal Deaths,February 2026,18
9101,Baringo County,Total Perinatal Deaths,March 2026,40
9102,Baringo County,Total Perinatal Deaths,April 2026,27
9103,Bomet County,Total Perinatal Deaths,May 2025,29
9104,Bomet County,Total Perinatal Deaths,June 2025,34
9105,Bomet County,Total Perinatal Deaths,July 2025,39
9106,Bomet County,Total Perinatal Deaths,August 2025,24
9107,Bomet County,Total Perinatal Deaths,September 2025,43
9108,Bomet County,Total Perinatal Deaths,October 2025,43
9109,Bomet County,Total Perinatal Deaths,November 2025,27
9110,Bomet County,Total Perinatal Deaths,December 2025,35
9111,Bomet County,Total Perinatal Deaths,January 2026,56
9112,Bomet County,Total Perinatal Deaths,February 2026,38
9113,Bomet County,Total Perinatal Deaths,March 2026,39
9114,Bomet County,Total Perinatal Deaths,April 2026,56
9115,Bungoma County,Total Perinatal Deaths,May 2025,75
9116,Bungoma County,Total Perinatal Deaths,June 2025,76
9117,Bungoma County,Total Perinatal Deaths,July 2025,99
9118,Bungoma County,Total Perinatal Deaths,August 2025,91
9119,Bungoma County,Total Perinatal Deaths,September 2025,76
9120,Bungoma County,Total Perinatal Deaths,October 2025,74
9121,Bungoma County,Total Perinatal Deaths,November 2025,77
9122,Bungoma County,Total Perinatal Deaths,December 2025,59
9123,Bungoma County,Total Perinatal Deaths,January 2026,64
9124,Bungoma County,Total Perinatal Deaths,February 2026,70
9125,Bungoma County,Total Perinatal Deaths,March 2026,82
9126,Bungoma County,Total Perinatal Deaths,April 2026,77
9127,Busia County,Total Perinatal Deaths,May 2025,46
9128,Busia County,Total Perinatal Deaths,June 2025,30
9129,Busia County,Total Perinatal Deaths,July 2025,36
9130,Busia County,Total Perinatal Deaths,August 2025,32
9131,Busia County,Total Perinatal Deaths,September 2025,36
9132,Busia County,Total Perinatal Deaths,October 2025,66
9133,Busia County,Total Perinatal Deaths,November 2025,40
9134,Busia County,Total Perinatal Deaths,December 2025,35
9135,Busia County,Total Perinatal Deaths,January 2026,47
9136,Busia County,Total Perinatal Deaths,February 2026,32
9137,Busia County,Total Perinatal Deaths,March 2026,35
9138,Busia County,Total Perinatal Deaths,April 2026,37
9139,Elgeyo Marakwet County,Total Perinatal Deaths,May 2025,23
9140,Elgeyo Marakwet County,Total Perinatal Deaths,June 2025,12
9141,Elgeyo Marakwet County,Total Perinatal Deaths,July 2025,26
9142,Elgeyo Marakwet County,Total Perinatal Deaths,August 2025,22
9143,Elgeyo Marakwet County,Total Perinatal Deaths,September 2025,37
9144,Elgeyo Marakwet County,Total Perinatal Deaths,October 2025,26
9145,Elgeyo Marakwet County,Total Perinatal Deaths,November 2025,10
9146,Elgeyo Marakwet County,Total Perinatal Deaths,December 2025,13
9147,Elgeyo Marakwet County,Total Perinatal Deaths,January 2026,15
9148,Elgeyo Marakwet County,Total Perinatal Deaths,February 2026,15
9149,Elgeyo Marakwet County,Total Perinatal Deaths,March 2026,18
9150,Elgeyo Marakwet County,Total Perinatal Deaths,April 2026,16
9151,Embu County,Total Perinatal Deaths,May 2025,31
9152,Embu County,Total Perinatal Deaths,June 2025,31
9153,Embu County,Total Perinatal Deaths,July 2025,47
9154,Embu County,Total Perinatal Deaths,August 2025,38
9155,Embu County,Total Perinatal Deaths,September 2025,25
9156,Embu County,Total Perinatal Deaths,October 2025,39
9157,Embu County,Total Perinatal Deaths,November 2025,21
9158,Embu County,Total Perinatal Deaths,December 2025,28
9159,Embu County,Total Perinatal Deaths,January 2026,21
9160,Embu County,Total Perinatal Deaths,February 2026,24
9161,Embu County,Total Perinatal Deaths,March 2026,26
9162,Embu County,Total Perinatal Deaths,April 2026,17
9163,Garissa County,Total Perinatal Deaths,May 2025,81
9164,Garissa County,Total Perinatal Deaths,June 2025,74
9165,Garissa County,Total Perinatal Deaths,July 2025,62
9166,Garissa County,Total Perinatal Deaths,August 2025,47
9167,Garissa County,Total Perinatal Deaths,September 2025,42
9168,Garissa County,Total Perinatal Deaths,October 2025,46
9169,Garissa County,Total Perinatal Deaths,November 2025,58
9170,Garissa County,Total Perinatal Deaths,December 2025,63
9171,Garissa County,Total Perinatal Deaths,January 2026,64
9172,Garissa County,Total Perinatal Deaths,February 2026,69
9173,Garissa County,Total Perinatal Deaths,March 2026,97
9174,Garissa County,Total Perinatal Deaths,April 2026,97
9175,Homa Bay County,Total Perinatal Deaths,May 2025,43
9176,Homa Bay County,Total Perinatal Deaths,June 2025,38
9177,Homa Bay County,Total Perinatal Deaths,July 2025,42
9178,Homa Bay County,Total Perinatal Deaths,August 2025,37
9179,Homa Bay County,Total Perinatal Deaths,September 2025,51
9180,Homa Bay County,Total Perinatal Deaths,October 2025,48
9181,Homa Bay County,Total Perinatal Deaths,November 2025,43
9182,Homa Bay County,Total Perinatal Deaths,December 2025,44
9183,Homa Bay County,Total Perinatal Deaths,January 2026,56
9184,Homa Bay County,Total Perinatal Deaths,February 2026,48
9185,Homa Bay County,Total Perinatal Deaths,March 2026,38
9186,Homa Bay County,Total Perinatal Deaths,April 2026,36
9187,Isiolo County,Total Perinatal Deaths,May 2025,15
9188,Isiolo County,Total Perinatal Deaths,June 2025,7
9189,Isiolo County,Total Perinatal Deaths,July 2025,10
9190,Isiolo County,Total Perinatal Deaths,August 2025,13
9191,Isiolo County,Total Perinatal Deaths,September 2025,7
9192,Isiolo County,Total Perinatal Deaths,October 2025,11
9193,Isiolo County,Total Perinatal Deaths,November 2025,12
9194,Isiolo County,Total Perinatal Deaths,December 2025,20
9195,Isiolo County,Total Perinatal Deaths,January 2026,6
9196,Isiolo County,Total Perinatal Deaths,February 2026,16
9197,Isiolo County,Total Perinatal Deaths,March 2026,11
9198,Isiolo County,Total Perinatal Deaths,April 2026,5
9199,Kajiado County,Total Perinatal Deaths,May 2025,66
9200,Kajiado County,Total Perinatal Deaths,June 2025,75
9201,Kajiado County,Total Perinatal Deaths,July 2025,62
9202,Kajiado County,Total Perinatal Deaths,August 2025,65
9203,Kajiado County,Total Perinatal Deaths,September 2025,47
9204,Kajiado County,Total Perinatal Deaths,October 2025,65
9205,Kajiado County,Total Perinatal Deaths,November 2025,53
9206,Kajiado County,Total Perinatal Deaths,December 2025,61
9207,Kajiado County,Total Perinatal Deaths,January 2026,59
9208,Kajiado County,Total Perinatal Deaths,February 2026,41
9209,Kajiado County,Total Perinatal Deaths,March 2026,72
9210,Kajiado County,Total Perinatal Deaths,April 2026,81
9211,Kakamega County,Total Perinatal Deaths,May 2025,69
9212,Kakamega County,Total Perinatal Deaths,June 2025,75
9213,Kakamega County,Total Perinatal Deaths,July 2025,113
9214,Kakamega County,Total Perinatal Deaths,August 2025,97
9215,Kakamega County,Total Perinatal Deaths,September 2025,102
9216,Kakamega County,Total Perinatal Deaths,October 2025,104
9217,Kakamega County,Total Perinatal Deaths,November 2025,94
9218,Kakamega County,Total Perinatal Deaths,December 2025,99
9219,Kakamega County,Total Perinatal Deaths,January 2026,94
9220,Kakamega County,Total Perinatal Deaths,February 2026,97
9221,Kakamega County,Total Perinatal Deaths,March 2026,112
9222,Kakamega County,Total Perinatal Deaths,April 2026,94
9223,Kericho County,Total Perinatal Deaths,May 2025,67
9224,Kericho County,Total Perinatal Deaths,June 2025,55
9225,Kericho County,Total Perinatal Deaths,July 2025,41
9226,Kericho County,Total Perinatal Deaths,August 2025,34
9227,Kericho County,Total Perinatal Deaths,September 2025,35
9228,Kericho County,Total Perinatal Deaths,October 2025,53
9229,Kericho County,Total Perinatal Deaths,November 2025,60
9230,Kericho County,Total Perinatal Deaths,December 2025,50
9231,Kericho County,Total Perinatal Deaths,January 2026,40
9232,Kericho County,Total Perinatal Deaths,February 2026,51
9233,Kericho County,Total Perinatal Deaths,March 2026,55
9234,Kericho County,Total Perinatal Deaths,April 2026,43
9235,Kiambu County,Total Perinatal Deaths,May 2025,95
9236,Kiambu County,Total Perinatal Deaths,June 2025,90
9237,Kiambu County,Total Perinatal Deaths,July 2025,91
9238,Kiambu County,Total Perinatal Deaths,August 2025,95
9239,Kiambu County,Total Perinatal Deaths,September 2025,110
9240,Kiambu County,Total Perinatal Deaths,October 2025,96
9241,Kiambu County,Total Perinatal Deaths,November 2025,100
9242,Kiambu County,Total Perinatal Deaths,December 2025,101
9243,Kiambu County,Total Perinatal Deaths,January 2026,87
9244,Kiambu County,Total Perinatal Deaths,February 2026,91
9245,Kiambu County,Total Perinatal Deaths,March 2026,88
9246,Kiambu County,Total Perinatal Deaths,April 2026,103
9247,Kilifi County,Total Perinatal Deaths,May 2025,109
9248,Kilifi County,Total Perinatal Deaths,June 2025,104
9249,Kilifi County,Total Perinatal Deaths,July 2025,89
9250,Kilifi County,Total Perinatal Deaths,August 2025,81
9251,Kilifi County,Total Perinatal Deaths,September 2025,70
9252,Kilifi County,Total Perinatal Deaths,October 2025,100
9253,Kilifi County,Total Perinatal Deaths,November 2025,89
9254,Kilifi County,Total Perinatal Deaths,December 2025,80
9255,Kilifi County,Total Perinatal Deaths,January 2026,137
9256,Kilifi County,Total Perinatal Deaths,February 2026,93
9257,Kilifi County,Total Perinatal Deaths,March 2026,94
9258,Kilifi County,Total Perinatal Deaths,April 2026,146
9259,Kirinyaga County,Total Perinatal Deaths,May 2025,21
9260,Kirinyaga County,Total Perinatal Deaths,June 2025,26
9261,Kirinyaga County,Total Perinatal Deaths,July 2025,31
9262,Kirinyaga County,Total Perinatal Deaths,August 2025,24
9263,Kirinyaga County,Total Perinatal Deaths,September 2025,26
9264,Kirinyaga County,Total Perinatal Deaths,October 2025,44
9265,Kirinyaga County,Total Perinatal Deaths,November 2025,20
9266,Kirinyaga County,Total Perinatal Deaths,December 2025,30
9267,Kirinyaga County,Total Perinatal Deaths,January 2026,22
9268,Kirinyaga County,Total Perinatal Deaths,February 2026,22
9269,Kirinyaga County,Total Perinatal Deaths,March 2026,33
9270,Kirinyaga County,Total Perinatal Deaths,April 2026,29
9271,Kisii County,Total Perinatal Deaths,May 2025,37
9272,Kisii County,Total Perinatal Deaths,June 2025,35
9273,Kisii County,Total Perinatal Deaths,July 2025,43
9274,Kisii County,Total Perinatal Deaths,August 2025,28
9275,Kisii County,Total Perinatal Deaths,September 2025,33
9276,Kisii County,Total Perinatal Deaths,October 2025,32
9277,Kisii County,Total Perinatal Deaths,November 2025,30
9278,Kisii County,Total Perinatal Deaths,December 2025,31
9279,Kisii County,Total Perinatal Deaths,January 2026,19
9280,Kisii County,Total Perinatal Deaths,February 2026,30
9281,Kisii County,Total Perinatal Deaths,March 2026,28
9282,Kisii County,Total Perinatal Deaths,April 2026,42
9283,Kisumu County,Total Perinatal Deaths,May 2025,55
9284,Kisumu County,Total Perinatal Deaths,June 2025,85
9285,Kisumu County,Total Perinatal Deaths,July 2025,86
9286,Kisumu County,Total Perinatal Deaths,August 2025,67
9287,Kisumu County,Total Perinatal Deaths,September 2025,43
9288,Kisumu County,Total Perinatal Deaths,October 2025,73
9289,Kisumu County,Total Perinatal Deaths,November 2025,81
9290,Kisumu County,Total Perinatal Deaths,December 2025,68
9291,Kisumu County,Total Perinatal Deaths,January 2026,66
9292,Kisumu County,Total Perinatal Deaths,February 2026,62
9293,Kisumu County,Total Perinatal Deaths,March 2026,79
9294,Kisumu County,Total Perinatal Deaths,April 2026,41
9295,Kitui County,Total Perinatal Deaths,May 2025,64
9296,Kitui County,Total Perinatal Deaths,June 2025,49
9297,Kitui County,Total Perinatal Deaths,July 2025,56
9298,Kitui County,Total Perinatal Deaths,August 2025,39
9299,Kitui County,Total Perinatal Deaths,September 2025,53
9300,Kitui County,Total Perinatal Deaths,October 2025,72
9301,Kitui County,Total Perinatal Deaths,November 2025,51
9302,Kitui County,Total Perinatal Deaths,December 2025,50
9303,Kitui County,Total Perinatal Deaths,January 2026,62
9304,Kitui County,Total Perinatal Deaths,February 2026,61
9305,Kitui County,Total Perinatal Deaths,March 2026,68
9306,Kitui County,Total Perinatal Deaths,April 2026,72
9307,Kwale County,Total Perinatal Deaths,May 2025,51
9308,Kwale County,Total Perinatal Deaths,June 2025,54
9309,Kwale County,Total Perinatal Deaths,July 2025,46
9310,Kwale County,Total Perinatal Deaths,August 2025,37
9311,Kwale County,Total Perinatal Deaths,September 2025,44
9312,Kwale County,Total Perinatal Deaths,October 2025,56
9313,Kwale County,Total Perinatal Deaths,November 2025,60
9314,Kwale County,Total Perinatal Deaths,December 2025,71
9315,Kwale County,Total Perinatal Deaths,January 2026,62
9316,Kwale County,Total Perinatal Deaths,February 2026,41
9317,Kwale County,Total Perinatal Deaths,March 2026,82
9318,Kwale County,Total Perinatal Deaths,April 2026,69
9319,Laikipia County,Total Perinatal Deaths,May 2025,78
9320,Laikipia County,Total Perinatal Deaths,June 2025,22
9321,Laikipia County,Total Perinatal Deaths,July 2025,23
9322,Laikipia County,Total Perinatal Deaths,August 2025,32
9323,Laikipia County,Total Perinatal Deaths,September 2025,31
9324,Laikipia County,Total Perinatal Deaths,October 2025,22
9325,Laikipia County,Total Perinatal Deaths,November 2025,30
9326,Laikipia County,Total Perinatal Deaths,December 2025,29
9327,Laikipia County,Total Perinatal Deaths,January 2026,22
9328,Laikipia County,Total Perinatal Deaths,February 2026,23
9329,Laikipia County,Total Perinatal Deaths,March 2026,23
9330,Laikipia County,Total Perinatal Deaths,April 2026,27
9331,Lamu County,Total Perinatal Deaths,May 2025,12
9332,Lamu County,Total Perinatal Deaths,June 2025,7
9333,Lamu County,Total Perinatal Deaths,July 2025,8
9334,Lamu County,Total Perinatal Deaths,August 2025,12
9335,Lamu County,Total Perinatal Deaths,September 2025,9
9336,Lamu County,Total Perinatal Deaths,October 2025,14
9337,Lamu County,Total Perinatal Deaths,November 2025,12
9338,Lamu County,Total Perinatal Deaths,December 2025,9
9339,Lamu County,Total Perinatal Deaths,January 2026,7
9340,Lamu County,Total Perinatal Deaths,February 2026,9
9341,Lamu County,Total Perinatal Deaths,March 2026,8
9342,Lamu County,Total Perinatal Deaths,April 2026,6
9343,Machakos County,Total Perinatal Deaths,May 2025,32
9344,Machakos County,Total Perinatal Deaths,June 2025,35
9345,Machakos County,Total Perinatal Deaths,July 2025,37
9346,Machakos County,Total Perinatal Deaths,August 2025,28
9347,Machakos County,Total Perinatal Deaths,September 2025,27
9348,Machakos County,Total Perinatal Deaths,October 2025,38
9349,Machakos County,Total Perinatal Deaths,November 2025,33
9350,Machakos County,Total Perinatal Deaths,December 2025,34
9351,Machakos County,Total Perinatal Deaths,January 2026,32
9352,Machakos County,Total Perinatal Deaths,February 2026,33
9353,Machakos County,Total Perinatal Deaths,March 2026,34
9354,Machakos County,Total Perinatal Deaths,April 2026,40
9355,Makueni County,Total Perinatal Deaths,May 2025,55
9356,Makueni County,Total Perinatal Deaths,June 2025,35
9357,Makueni County,Total Perinatal Deaths,July 2025,39
9358,Makueni County,Total Perinatal Deaths,August 2025,46
9359,Makueni County,Total Perinatal Deaths,September 2025,30
9360,Makueni County,Total Perinatal Deaths,October 2025,27
9361,Makueni County,Total Perinatal Deaths,November 2025,32
9362,Makueni County,Total Perinatal Deaths,December 2025,26
9363,Makueni County,Total Perinatal Deaths,January 2026,38
9364,Makueni County,Total Perinatal Deaths,February 2026,28
9365,Makueni County,Total Perinatal Deaths,March 2026,40
